time,weight
5.760871,16.753570556640625
5.772284,16.643226623535156
5.783699,16.539104461669922
5.795113,16.450828552246094
5.80652,16.393516540527344
5.817942,16.343109130859375
5.829355,16.294353485107422
5.840769,16.298534393310547
5.852183,16.391523361206055
5.863598,16.563505172729492
5.875012,16.78443717956543
5.886425,17.032785415649414
5.89784,17.27281951904297
5.909253,17.387636184692383
5.920667,17.329692840576172
5.943495,16.759111404418945
5.954909,16.26737403869629
5.966323,15.69761848449707
5.977737,15.11595344543457
0.054356,18.58873748779297
0.065762,19.0610294342041
0.077168,19.618972778320312
0.088574,20.300678253173828
0.099982,21.061128616333008
0.111388,21.884288787841797
0.122795,22.870630264282227
0.134201,24.10041046142578
0.145608,25.510095596313477
0.157014,26.959978103637695
0.168421,28.309144973754883
0.179828,29.462949752807617
0.191237,30.425230026245117
0.202647,31.306669235229492
0.214057,32.14494323730469
0.236878,33.27998352050781
0.248286,33.5849609375
0.259696,33.884300231933594
0.271105,34.290340423583984
0.282515,34.767494201660156
0.293926,35.2755126953125
0.305335,35.78008270263672
0.316745,36.301910400390625
0.328153,36.94117736816406
0.339563,37.737308502197266
0.350973,38.53144836425781
0.362383,39.223846435546875
0.373793,39.96616744995117
0.385203,40.822574615478516
0.396613,41.59294509887695
0.419434,42.04462814331055
0.430843,42.03276443481445
0.442252,42.13401794433594
0.453661,42.36015319824219
0.465072,42.50199508666992
0.476482,42.349945068359375
0.487892,41.91070556640625
0.499303,41.318931579589844
0.510713,40.67348861694336
0.522124,40.148502349853516
0.533533,39.99397277832031
0.544944,40.076900482177734
0.556355,40.17008590698242
0.567764,40.231868743896484
0.579174,40.24061965942383
0.602,40.233375549316406
0.613412,40.404483795166016
0.624824,40.62089157104492
0.636238,40.924072265625
0.64765,41.46218490600586
0.659062,42.11020278930664
0.670474,42.5797233581543
0.681886,42.791465759277344
0.693299,42.723026275634766
0.704711,42.50972366333008
0.716124,42.471275329589844
0.727536,42.6800537109375
0.738948,42.73371887207031
0.75036,42.4302978515625
0.761773,41.983524322509766
0.784598,41.8536376953125
0.796009,42.19517135620117
0.807422,42.37186813354492
0.818834,42.31829833984375
0.830246,42.042388916015625
0.841659,41.675384521484375
0.85307,41.47307205200195
0.864484,41.61666488647461
0.875896,41.96199035644531
0.887309,42.21835708618164
0.898723,42.18335723876953
0.910137,41.9654426574707
0.92155,41.824859619140625
0.932962,41.86982727050781
0.944375,41.993099212646484
0.9672,42.134796142578125
0.978614,42.18690872192383
0.990026,42.291954040527344
